A_Indep_Front,A_RollSpeed_Front,A_R2R2W_Front,KM_Front,KM_DEV_Front,A_Indep_Rear,A_RollSpeed_Rear,A_R2R2W_Rear,KM_Rear,KM_DEV_Rear,TR_PWM_SLOP_FRONT,TR_PWM_OFFSET_FRONT,R2_Front,TR_AccuENC_RATIO_FRONT,TR_PWM_SLOP_REAR,TR_PWM_OFFSET_REAR,R2_Rear,TR_AccuENC_RATIO_REAR,status
0.390513,0.000601,128.379043,0.04195,0.037106,0.468861,0.000664,89.051406,0.042561,0.053677,1.370314,-37.246261,0.9999979999999999,9.075283,1.372229,-45.169482,0.999979,9.176037,P
0.34825900000000004,0.000509,129.046143,0.041847,0.052308000000000014,0.338558,0.000449,86.57981,0.041813,0.041948,1.374144,-28.468581,0.999986,9.075158,1.370026,-40.57786,0.999983,9.174968,P
0.407983,0.00062,53.861514,0.041439,0.031839,0.447917,0.001068,72.697784,0.041715,0.033923,1.335473,-38.879725,0.9998969999999999,9.076344,1.3771,-38.177445,0.999997,9.179953,P
0.386216,0.0006309999999999999,76.62723199999999,0.041407,0.034477999999999995,0.3844,0.000903,79.220271,0.042135,0.032906,1.331818,-32.805212,0.999993,9.075598,1.379523,-58.649253,0.999995,9.156949,P
0.373776,0.000921,94.511528,0.041983,0.037544,0.451047,0.000969,81.454951,0.041807,0.01589,1.337583,-35.964199,0.999978,9.075733,1.358422,-40.033938,0.999999,9.178558,P
0.34119299999999997,0.000755,114.185955,0.041149,0.050269,0.513763,0.001078,96.84776,0.041966,0.047764,1.331107,-31.581471,0.9999809999999999,9.075873,1.369648,-36.512309,0.999999,9.176059,P
0.380948,0.000933,82.606602,0.041642,0.028881,0.375052,0.000795,106.838349,0.041239,0.040071,1.350667,-34.819974,0.9999979999999999,9.076157,1.357358,-41.544045,0.999992,9.177317,P
0.336111,0.000773,74.019056,0.041081,0.031883,0.33307,0.000863,79.492879,0.041534,0.043301,1.339543,-34.974109999999996,0.999994,9.076157,1.361319,-38.686411,0.999996,9.176747,P
0.385335,0.000833,96.109717,0.041183,0.057823,0.395919,0.000933,109.469843,0.041185,0.065772,1.3441450000000001,-27.134494,1.0,9.074775,1.358719,-38.778713,0.999993,9.177348,P
0.377913,0.000814,91.046188,0.041358,0.048823000000000005,0.427908,0.001108,81.743913,0.041101,0.054966,1.342596,-32.288672999999996,0.999999,9.076292,1.359214,-41.488879,0.999999,9.173536,P
0.297658,0.000647,77.428151,0.040828,0.020131,0.440675,0.000908,74.111214,0.041451,0.054793,1.348151,-33.512118,1.0,9.075308,1.345353,-43.689375,0.999999,9.177656,P
0.389021,0.0008619999999999999,54.812826,0.04138,0.043902,0.368298,0.001048,61.72892,0.041365,0.050121,1.356701,-29.952814,0.999999,9.076658,1.358684,-41.181642,0.999974,9.17737,P
0.218927,0.000874,76.381697,0.041184,0.068941,0.404624,0.001024,71.47066,0.041003,0.036807,1.348476,-32.592271999999994,0.9999950000000001,9.074816,1.369427,-43.136526,0.999978,9.177848,P
0.50662,0.001123,84.509004,0.04136,0.074459,0.399587,0.000884,110.115063,0.04217,0.027462,1.342325,-36.814429,0.9999819999999999,9.076137,1.356168,-42.075722,0.999973,9.17734,P
0.332461,0.0009429999999999999,96.513823,0.041665,0.030113,0.375885,0.000817,88.436132,0.041531,0.033823,1.34514,-31.631947999999998,1.0,9.076387,1.363679,-38.212322,1.0,9.17729,P
0.306719,0.000935,108.466596,0.041677,0.035519,0.314688,0.001029,83.073142,0.041116,0.038307,1.329123,-32.552093,0.999999,9.076137,1.345006,-43.044265,0.999951,9.178916,P
0.46371,0.000834,80.84498,0.041683,0.038176,0.433642,0.000826,66.223034,0.042103,0.036132,1.3545049999999998,-33.505937,1.0,9.076407,1.3650209999999998,-38.89327,0.999986,9.179542,P
0.368679,0.000977,78.254152,0.041815,0.05843300000000001,0.413527,0.00072,75.230046,0.04103,0.030524000000000006,1.355164,-30.132649,0.999984,9.075402,1.356186,-37.622899,0.999996,9.173561,P
0.429005,0.000666,104.728758,0.041741,0.014768,0.414482,0.0008619999999999999,87.164144,0.041401,0.045193,1.363911,-32.46281,0.99998,9.067476,1.355584,-43.192414,0.999977,9.176012,P
0.410257,0.000891,69.663622,0.041159,0.047376,0.345318,0.0008230000000000001,89.17627399999998,0.041176,0.057576,1.354845,-27.665207000000002,0.9999680000000001,9.069782,1.342174,-37.190625,0.999987,9.175927,P
0.410897,0.0008960000000000001,84.51706999999999,0.04156,0.013687,0.330952,0.001007,92.081812,0.041617,0.030775,1.353731,-33.473356,0.9999709999999999,9.075402,1.365916,-40.26811,0.999999,9.175735,P
0.36254000000000003,0.000909,86.65937199999999,0.041487,0.015065,0.5373829999999999,0.000947,71.099041,0.041244,0.055801,1.349844,-26.083935999999998,0.9999899999999999,9.074687,1.367892,-38.5811,0.999981,9.178455,P
0.442308,0.000849,123.918191,0.041403,0.035337,0.536695,0.0008029999999999999,103.201289,0.042028,0.036459,1.3546129999999998,-34.787116999999995,0.999999,9.076532,1.357903,-39.84204,0.999983,9.175405,P
